ID|Code|IDPlayer|DayBirth|MonthBirth|YearBirth|Height|Weight|RightHanded|TurnedPro
0|SN54|Si/F/Frederico-Ferreira-Silva|18|3|1995|-1|-1|0|-1
1|N301|Na/D/David-Nalbandian|-1|-1|-1|180|79|1|2000
2|CF25|Co/V/Vlad-Victor-Cornea|24|9|1993|-1|-1|0|-1
3|GB88|Top-Players/David-Goffin|7|12|1990|180|68|1|2009
4|N309|Na/I/Ivan-Navarro|19|10|1981|183|86|1|2001
5|O305|Os/P/Philipp-Oswald|23|1|1986|201|94|1|2005
6|R397|Top-Players/Olivier-Rochus|18|1|1981|168|65|1|1999
7|M680|Top-Players/Xavier-Malisse|19|7|1980|185|83|1|1998
8|Z163|Zi/M/Mehdi-Ziadi|20|9|1986|-1|-1|-1|-1
9|P605|Po/J/Jaroslav-Pospisil|9|2|1981|-1|-1|1|-1
10|SK02|Si/K/Karunuday-Singh|19|11|1990|-1|-1|-1|-1
11|Z168|Zv/M/Mischa-Zverev|22|8|1987|190|81|0|-1
12|E778|Es/W/Walner-Espinoza|20|6|1994|-1|-1|-1|-1
13|Y124|Yo/D/Donald-Young|23|7|1989|183|79|0|2004
14|BG08|Ba/M/Moritz-Baumann|9|5|1987|-1|-1|0|-1
15|E678|Ey/J/Jonathan-Eysseric|27|5|1990|180|80|0|2008
16|K771|Il/M/Marsel-Ilhan|11|6|1987|190|78|1|2006
17|SN53|Su/D/Danyal-Sualehe|8|3|1994|-1|-1|-1|-1
18|Y245|Ya/S/Shao-Chi-Yang|11|6|1996|-1|-1|-1|-1
19|K776|Kr/K/Konstantin-Kravchuk|23|2|1985|190|80|1|2004
20|H693|Ho/R/Ricardo-Hocevar|9|5|1985|180|80|1|2004
21|ML57|Ma/G/Gianluca-Mager|1|12|1994|-1|-1|-1|-1
22|MF57|Mc/M/Michael-Mcclune|22|8|1989|188|84|1|2007
23|L797|La/L/Lukas-Lacko|3|11|1987|185|85|1|2005
24|MA21|Top-Players/Juan-Monaco|29|3|1984|185|81|1|2002
25|D815|De/F/Fabiano-De-Paula|28|11|1988|-1|-1|-1|-1
26|W679|Wa/C/Chieh-Fu-Wang|11|9|1993|-1|-1|-1|-1
27|O234|Od/W/Wayne-Odesnik|21|11|1985|180|77|0|2004
28|L799|Le/J/Jesse-Levine|15|10|1987|175|68|0|2007
29|D424|De/R/Rik-De-Voest|5|6|1980|180|68|1|1999
30|BI99|Bu/M/Moritz-Buerchner|24|4|1990|-1|-1|1|-1
31|SL94|Sa/P/Pedro-Sakamoto|29|6|1993|-1|-1|-1|-1
32|SL95|Sa/R/Rodrigo-Sanchez|19|9|1991|-1|-1|-1|-1
33|SL92|Se/S/Shuichi-Sekiguchi|15|7|1991|-1|-1|-1|-1
34|R782|Re/J/Julian-Reister|2|4|1986|188|87|1|2005
35|W597|Wa/T/Tak-Khunn-Wang|13|10|1991|-1|-1|-1|-1
36|KA98|Kl/B/Bradley-Klahn|20|8|1990|183|75|0|2012
37|C968|Cr/M/Marco-Crugnola|24|5|1983|188|84|1|2004
38|BB20|Bj/I/Ivan-Bjelica|15|2|1984|-1|-1|-1|-1
39|H986|Ko/T/Tom-Kocevar-Desman|10|7|1990|-1|-1|1|-1
40|SK47|Sa/M/Mohamed-Safwat|19|9|1990|183|74|1|-1
41|LC11|La/T/Tristan-Lamasine|5|3|1993|-1|-1|-1|-1
42|O427|Ou/B/Bowen-Ouyang|19|5|1992|-1|-1|-1|-1
43|SP75|Su/D/Dominik-Suc|19|9|1990|-1|-1|1|-1
44|BK68|Ba/F/Francisco-Bahamonde|7|11|1996|-1|-1|-1|-1
45|N604|Ng/N/Nicolas-Ngodrela|6|10|1984|-1|-1|-1|-1
46|BH22|Ba/S/Sam-Barry|27|1|1992|-1|-1|-1|-1
47|T961|Tu/T/Thales-Turini|18|7|1989|-1|-1|-1|-1
48|O420|Ob/D/Dean-Obrien|15|5|1990|-1|-1|-1|-1
49|RA82|Re/Y/Yannik-Reuter|6|3|1991|-1|-1|-1|-1
50|TC58|Ta/C/Chih-Chun-Tang|20|9|1995|-1|-1|-1|-1
51|HA33|He/P/Peter-Heller|12|8|1992|-1|-1|1|-1
52|SG29|Sa/N/Nicolas-Santos|5|1|1988|-1|-1|-1|-1
53|Z248|Zh/D/Dzmitry-Zhyrmont|1|3|1989|-1|-1|-1|-1
54|Z198|Za/C/Caio-Zampieri|27|5|1986|183|79|1|2005
55|H940|Top-Players/Ryan-Harrison|7|5|1992|188|84|1|2007
56|D729|Da/J/Jonathan-Dasnieres-De-Veigy|5|1|1987|175|76|0|2008
57|Y235|Ya/J/Jumpei-Yamasaki|2|7|1997|-1|-1|1|-1
58|L428|Top-Players/Michael-Llodra|18|5|1980|190|80|0|1999
59|SL28|St/J/Jan-Lennard-Struff|25|4|1990|196|87|1|2009
60|U043|Ud/D/Danai-Udomchoke|11|8|1981|173|64|1|1997
61|E701|En/I/Ivan-Endara|4|3|1988|-1|-1|-1|-1
62|E702|Ec/M/Mauricio-Echazu|21|1|1989|-1|-1|-1|-1
63|GD64|Ga/C/Christian-Garin|30|5|1996|183|81|1|-1
64|BE69|Ba/Y/Yan-Bai|21|5|1989|-1|-1|-1|-1
65|BE68|Br/T/Tomislav-Brkic|9|3|1990|185|77|-1|2008
66|SG13|Se/S/Stefan-Seifert|28|2|1985|-1|-1|-1|-1
67|SW13|So/C/Chanchai-Sookton-Eng|25|8|1996|-1|-1|-1|-1
68|P519|Pe/J/Julio-Peralta|9|9|1981|-1|-1|-1|-1
69|SR81|Su/K/Khumoun-Sultanov|27|10|1998|-1|-1|-1|-1
70|CG94|Co/E/Enzo-Couacaud|1|3|1995|-1|-1|1|-1
71|MP13|Mu/S/Sasi-Kumar-Mukund|14|1|1997|-1|-1|1|-1
72|BK41|Bo/P/Punn-Bodhidatta|3|6|1993|-1|-1|1|-1
73|BE67|Ba/M/Mirza-Basic|12|7|1991|188|87|-1|-1
74|BE66|Be/G/Gilad-Ben-Zvi|12|6|1990|-1|-1|-1|-1
75|W522|Wi/R/Rhyne-R-Williams|22|3|1991|185|84|1|2011
76|MO41|Ma/R/Rafael-Matos-MO41|6|1|1996|-1|-1|-1|-1
77|MH78|Mo/S/Sergio-Monges|7|5|1992|-1|-1|-1|-1
78|F580|Fi/M/Martin-Fischer|21|7|1986|180|71|1|2005
79|F586|Fa/T/Thomas-Fabbiano|26|5|1989|173|70|1|2005
80|MJ88|Ma/W/Felipe-Mantilla|10|5|1993|-1|-1|1|-1
81|BC68|Be/P/Philip-Bester|6|10|1988|188|77|1|2006
82|BC65|Ba/M/Matthias-Bachinger|2|4|1987|188|83|1|2005
83|S877|Si/J/Julio-Silva|1|7|1979|173|69|1|1999
84|BC62|Bu/E/Enrico-Burzi|14|1|1981|178|76|1|-1
85|TD51|Ti/F/Francis-Tiafoe|20|1|1998|185|75|1|-1
86|G744|Go/J/Josh-Goodall|17|10|1985|188|74|1|2004
87|PG20|Po/D/Dmitry-Popko|24|10|1996|-1|-1|-1|-1
88|B837|Top-Players/Marcos-Baghdatis|17|6|1985|178|82|1|2003
89|R772|Top-Players/Albert-Ramos-Vinolas|17|1|1988|188|80|0|2007
90|MN23|Me/A/Aleksandre-Metreveli|10|8|1993|-1|-1|1|-1
91|N289|Top-Players/Jarkko-Nieminen|23|7|1981|185|78|0|2000
92|BF98|Be/A/Alessandro-Bega|11|1|1991|-1|-1|-1|-1
93|F886|Fi/J/Jakub-Filipsky|12|6|1995|-1|-1|-1|-1
94|A622|Ar/A/Andrea-Arnaboldi|27|12|1987|175|73|0|2006
95|SJ52|Sc/M/Michal-Schmid|28|11|1988|-1|-1|-1|-1
96|Z349|Za/A/Anton-Zaitcev|22|7|1987|-1|-1|-1|-1
97|SJ55|Sm/J/John-Patrick-Smith|24|1|1989|188|84|0|2012
98|KB14|Ki/K/Kevin-King|28|2|1991|190|86|0|-1
99|T786|Top-Players/Jo-Wilfried-Tsonga|17|4|1985|188|91|1|2004
100|Z346|Zi/R/Robert-Ziganshin|26|10|1995|-1|-1|-1|-1
101|M708|Me/R/Ricardo-Mello|21|12|1980|175|73|0|1999
102|SK94|St/C/Cedrik-Marcel-Stebe|9|10|1990|183|72|0|2010
103|SE73|Su/Y/Yuichi-Sugita|18|9|1988|-1|-1|1|-1
104|SI74|Si/H/Henrik-Sillanpaa|21|4|1991|-1|-1|-1|-1
105|ML59|Ma/M/Mateo-Nicolas-Martinez|5|3|1994|-1|-1|1|-1
106|K688|Ki/D/Daniel-King-Turner|15|5|1984|190|-1|1|-1
107|Z184|Top-Players/Horacio-Zeballos|27|4|1985|188|83|0|2003
108|KC36|Ku/J/Jan-Kuncik|20|3|1993|-1|-1|-1|-1
109|MF95|Ma/R/Ryusei-Makiguchi|3|5|1991|-1|-1|-1|-1
110|SK76|Sh/S/Sergey-Shipilov|3|7|1993|-1|-1|-1|-1
111|K929|Ka/S/Salif-Kante|20|11|1988|-1|-1|-1|-1
112|H712|He/J/Jorge-Hernando-Ruano|3|6|1987|-1|-1|-1|-1
113|AB49|Ak/A/Aydin-Akhmetshin|20|10|1994|-1|-1|-1|-1
114|K926|Top-Players/Mikhail-Kukushkin|26|12|1987|183|72|1|-1
115|SH77|Sm/A/Artem-Smirnov|2|2|1988|-1|-1|-1|-1
116|GB41|Go/J/Juan-Sebastian-Gomez|5|3|1992|-1|-1|-1|-1
117|ME89|Ma/I/Illya-Marchenko|8|9|1987|185|78|1|-1
118|G676|Gi/D/Daniel-Gimeno-Traver|7|8|1985|183|80|1|2004
119|R852|Re/C/Clement-Reix|9|10|1983|-1|-1|-1|-1
120|ME82|Ma/A/Adrian-Mannarino|29|6|1988|183|69|0|2005
121|L781|Le/C/Chris-Letcher|11|5|1985|-1|-1|-1|-1
122|D616|Top-Players/Somdev-K-Devvarman|13|2|1985|180|73|1|2008
123|BJ27|Bi/R/Ronit-Singh-Bisht|6|4|1996|-1|-1|1|-1
124|B881|Be/T/Tomasz-Bednarek|12|11|1981|-1|-1|1|2000
125|O340|Or/R/Roberto-Ortega-Olmedo|14|4|1991|-1|-1|-1|-1
